Place,Surface,Room Number,Flooring,Balcony,Price
Telep,75,4.5,1,0,169950.0
Stari Grad,70,2.5,3,1,149350.0
Liman,49,1.5,7,1,128750.0
Telep,38,1.5,1,1,101800.0
Grbavica,39,1.5,0,0,91670.0
Petrovaradin,50,2.5,1,1,88250.0
Sajmište,143,4.0,1,1,418000.0
Stari Grad,112,4.0,1,1,288400.0
Nova Detelinara,27,0.5,5,1,68500.0
Telep,54,3.0,2,0,146600.0
Nova Detelinara,43,2.0,0,1,113300.0
Liman,82,4.0,1,1,253380.0
Stari Grad,69,3.0,3,1,132600.0
Nova Detelinara,47,2.0,4,1,114124.0
Adice,36,0.5,0,1,72100.0
Detelinara,26,0.5,2,1,71070.0
Detelinara,89,3.0,5,0,157590.0
Sajmište,63,3.0,3,1,144200.0
Sremska Kamenica,46,2.0,1,1,106500.0
Adice,55,2.5,0,1,87550.0
Sajmište,87,4.0,2,1,216390.0
Telep,87,4.0,3,1,257500.0
Bulevar Evrope,44,2.0,5,1,127310.0
Nova Detelinara,36,1.5,3,1,90000.0
Liman,81,3.0,1,1,179000.0
Sajmište,54,2.0,1,0,136990.0
Liman,47,1.5,1,0,120500.0
Bulevar Oslobođenja,56,2.0,1,0,123600.0
Nova Detelinara,58,3.0,4,1,154500.0
Adice,87,3.0,3,0,147400.0
Stari Grad,23,0.5,3,1,75810.0
Telep,73,3.5,5,1,164800.0
Stari Grad,27,0.5,4,1,99910.0
Stari Grad,35,1.0,2,1,77250.0
Stari Grad,106,3.5,1,1,144200.0
Petrovaradin,40,2.0,2,1,96050.0
Nova Detelinara,59,3.0,2,1,138000.0
Telep,52,2.5,2,1,107100.0
Adice,27,0.5,0,0,40685.0
Liman,77,3.0,10,0,185400.0
Grbavica,50,2.0,2,1,123600.0
Petrovaradin,43,1.5,0,1,82400.0
Sajmište,64,2.0,6,0,139050.0
Detelinara,63,3.0,2,1,146000.0
Nova Detelinara,45,2.0,2,1,113300.0
Liman,55,2.0,6,1,122570.0
Banatić,42,2.0,5,1,77250.0
Adice,60,3.5,0,0,108210.0
Adice,28,1.5,0,0,40500.0
Telep,60,2.5,0,1,115500.0
